α M log_fpbh
1.8340922669088395 4.71794859582101 -2.526012668237155
2.0997547954827622 5.428958565859939 -2.532248585571587
1.6150495038052837 5.121551979001432 -2.5693981432977235
2.106668754962779 6.328521943505632 -2.728568665064512
2.1654165185595446 5.922372743951829 -2.567804556302058
1.6920057723786996 6.538105622092401 -2.5912411300918485
1.6985430825971484 4.875219219842023 -2.6181958019700966
1.7168004468942337 5.181622586702126 -2.683009406272909
1.780256644685114 5.7996587566789 -2.5355352311181196
1.777190272716584 5.361199883025389 -2.5330776287744197
2.0052832506661384 5.406521972316491 -2.5655258513872568
2.017211981831344 5.912077579450969 -2.5163547014555516
1.822449497572391 5.3966809322846565 -2.6850331614045757
2.0425026362934426 6.502526619668953 -2.740830235076622
1.955885812812311 5.43562180118348 -2.625117289072891
1.6626767788570616 5.235890468739119 -2.6472674085604666
1.9679909022382307 6.6604123786352805 -2.76965557235253
1.6901959967234208 5.6502217148161025 -2.7172181811876994
1.6526944480655872 6.63413793706075 -2.6563842480246134
1.6461731941050364 5.435528684007796 -2.666478185306641
1.8203273233087822 5.587252482208516 -2.702941731057084
1.8516881042243218 6.66323139618717 -2.7805651375155223
1.7584081817659207 5.453281771123233 -2.5584706902200556
1.7225064465687634 5.170131094066966 -2.611047046722477
1.7658116505333363 6.774343558454357 -2.7709996460879074
1.7955542322610993 5.534684431448128 -2.695275494941164
1.684669741686056 6.6968578273779 -2.7405312925915277
1.7380725102868542 5.270456158768546 -2.5791096168704843
2.0617007317374574 6.349901520215221 -2.7106057169272875
1.7806463271403823 5.37014163106922 -2.6677956869929513
1.6520725575478035 6.587522350855879 -2.697881280708353
1.9296248246122572 5.999884653492767 -2.5268616800484693
2.0958472951166063 6.477406219617531 -2.7026735665914474
1.8982325467475523 6.540338965185969 -2.5476287620455587
1.8130134346652866 5.530957223710093 -2.5431158154089335
1.8424690777851747 5.296064758120449 -2.6352796498453874
1.929995479797845 5.925649343457554 -2.5325298381843266
1.6580099402370965 6.54486833030643 -2.6596234028512593
1.822588161439287 6.27878934284392 -2.761864169479508
1.692534687335126 6.262136757013755 -2.595951703294202
2.2718674040160893 6.758467006839997 -2.5845442363889797
1.6292752400276527 6.17163543127298 -2.6687063989601176
1.6994356552556806 5.905396306824096 -2.5930113206652248
2.0750424057698007 6.284362700682653 -2.690370849562922
1.7089486011015442 5.625410731916169 -2.5777939473903264
1.8280590497927722 6.649467321881323 -2.7709426172319476
1.8082145046454985 5.588579132331581 -2.692426399392419
2.1309880991755996 6.590951049776014 -2.5379484501173826
2.050038901542247 6.48920873083674 -2.718990083865465
2.0349047537698848 6.115820319858438 -2.679340372958083
2.0444536210487216 5.856245907224931 -2.6157541696566957
