α M log_fpbh
1.5497309850249634 6.796880371887321 -2.674465115952958
1.7178896570954407 5.505214720193953 -2.422465633856394
1.7796960205260794 6.157332227951902 -2.4470229038397715
1.9202890293870176 6.250520815820348 -2.7738233860889503
1.6708612219627246 4.140374719193852 -2.4905360922691564
2.2787649855423355 5.916426475816042 -2.489913512245358
2.2495476572409263 5.7371242532635165 -2.472912995159254
2.286753764701414 6.761427357306495 -2.6436093848313624
1.5826819858970111 6.039821978077105 -2.7272739888128887
1.7255892990903796 6.6975730134684595 -2.7613722722237064
1.8656389889945548 4.893415383138008 -2.6128306138133315
1.543513856739006 6.3938116974080295 -2.6550651662955334
1.756917612490132 4.530492171993263 -2.4612260615680093
1.8704751685588936 4.648662874604215 -2.5043590728308502
2.11603078321426 5.376635110077984 -2.4576984160176987
1.6867771110707475 6.598846072202892 -2.740114221697272
2.1484111485203146 5.465517530579804 -2.462456058236507
1.9622594397982265 5.527636255314268 -2.663625444790876
1.7980446199981714 4.851239450993047 -2.6034942424566383
1.5734012275574336 5.365134219786836 -2.536306638456564
1.9402629381235177 4.899567268399505 -2.496163320191373
1.5435480123959344 5.353651122153774 -2.577839036126854
1.5450792286810136 5.872431065946168 -2.597997250408583
1.6364576456598532 5.4143636142262945 -2.687726979265016
1.8930102485464833 6.773785280243228 -2.74298787945225
1.941249399903696 5.4183332517234994 -2.4110484237227703
1.6162164776777987 4.689500738856644 -2.5522449726201293
1.8349703250520293 5.375275793131548 -2.430951295791645
2.1872543391779136 6.5325089797084 -2.442925344875809
2.2589625011432766 6.224569543588499 -2.469699449106128
1.5850581126212235 6.06021920464997 -2.565612368033258
1.9788690337283867 6.033846646800816 -2.4285231658270146
1.5912970527140302 6.015182216001459 -2.5583801360893776
1.8433217344328898 6.813643081919512 -2.509292396421087
1.6191936139451646 5.562363199678137 -2.5128980818901754
1.929626526563666 4.94306264244546 -2.515086807822668
2.0639341973803287 5.999339935284503 -2.427991771335435
2.185429280952414 6.038544760683061 -2.588966439692468
2.310436406890164 6.567504899003158 -2.5555626834819813
1.9204415060505529 5.682259153532699 -2.6821713758718273
1.6172433045486396 6.257668674863049 -2.5551169075678497
1.7546180193349956 5.498881855563121 -2.6951675524285927
1.6457736427799188 5.513256295628474 -2.6850688060522088
1.8385656183164611 6.825753295042759 -2.5183442831085308
1.8248445947801901 5.337320961832335 -2.662206923843918
1.9300976846142817 5.171128118321342 -2.4440216662387155
1.7597861698632729 5.491557166458243 -2.691870908137204
1.7260033344915817 5.111192067450393 -2.6435191795101454
1.6007064339699122 5.0814498782654915 -2.5994347959782726
2.268837125295656 6.293318290802543 -2.533885747520938
1.5927597541009992 6.191688670021021 -2.6492322614228927
1.9338779481786257 6.2478345813405785 -2.4513721034000038
1.6493139059377788 5.223840977887504 -2.5156589141417554
1.5913619881676988 6.15623600138075 -2.619991650541938
1.7009597940230496 4.8070333564903525 -2.5748808883743814
2.067954080810095 6.05376249997177 -2.4413691525199575
1.5948293272822753 6.1481271694219775 -2.644148579100283
1.7828748953650908 6.787669832751867 -2.7123916091069864
2.2685445786793688 6.780723389896691 -2.582035561897059
1.6821437027152932 5.306300205239497 -2.4929453695711823
1.8526742837616719 4.936903463884497 -2.4853051646126287
1.6963089662999988 5.387132783564682 -2.4913343484613915
2.1098086060018826 5.5459845021166565 -2.5203833092302634
2.09699786047803 6.000482024514239 -2.4444602068951387
1.7518228412162482 4.931643497970614 -2.588715236395511
2.030048439166709 5.352268841385923 -2.540212956615959
2.161456976777088 5.891587458733835 -2.4866314713216857
1.6027156599303365 6.048230870034624 -2.5905635216560654
1.594244408484348 5.773645050371629 -2.6395046516408147
2.004358491570456 5.3704200445438754 -2.452666347149841
2.1458034717317798 5.780890326935184 -2.4941621558008418
2.21375885194003 6.194119616541929 -2.5324122380046
2.232682658853947 6.647674309633539 -2.475322711075637
2.2300100070700912 6.216936657720446 -2.52329281346814
1.995245010177808 5.938534184544931 -2.66395279220321
1.6474914391207025 6.544070324107416 -2.6167516728946056
1.6242351640251003 5.251723370733466 -2.611506879421976
1.773172100428045 6.025191713864814 -2.4874236374803704
1.656003770994027 5.085600103551508 -2.5285175873828347
1.620404865038906 5.8671351037142205 -2.6648621654896907
1.8218115639159786 5.215534001874112 -2.619998186468833
1.6486623951155983 5.744035971759415 -2.672762844005141
1.8417217801752708 5.0614355365383705 -2.584553307767873
2.104669819981643 6.876795871997472 -2.6193042653454635
2.0380724392003797 6.433713885348835 -2.4549258457820216
1.7088883040235836 6.375876212041526 -2.7164318791186535
1.6760383817515143 5.165532890075812 -2.519878731506858
1.933936159654123 5.730834614530314 -2.4436949397875063
1.6689542080370705 5.291132494806407 -2.5126303786754116
1.7040545231477324 4.954462111850115 -2.5422939154312383
1.8097112148280479 5.068259850523134 -2.594476124062414
1.7692349755161567 6.716830651637837 -2.5565840878583916
